,Sample_number,Text_id,Sampled_date,T_site,T_plant,Sampling_point,CH4(ppm),H2(ppm),C2H2(ppm),C2H4(ppm),C2H6(ppm),CO(ppm),CO2(ppm),TDCG(ppm),Condition,Fault
0,10735333.0,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,NMD,DHC_ELE_NMD,55ETDC055001_NMD,1.0,12.0,0.0,3.0,0.0,59.0,1619.0,75.0,1.0,No fault
1,10777576.0,OIL/NGU-IOP-ETP-SUB-80XD0011/141117@1801,11/28/2016 0:00,NMD,IWWTP_ELE_NMD,80XD0011_NMD,1.0,7.0,0.0,2.0,0.0,61.0,1634.0,71.0,1.0,No fault
2,10777591.0,OIL/NGU-IOP-ETP-SUB-80XD0012/141117@1801,11/28/2016 0:00,NMD,IWWTP_ELE_NMD,80XD0012_NMD,1.0,6.0,0.0,1.0,0.0,36.0,1514.0,44.0,1.0,No fault
3,10777595.0,OIL/NGU-IOP-ETP-SUB-80XD0013/141117@1801,11/28/2016 0:00,NMD,IWWTP_ELE_NMD,80XD0013_NMD,1.0,9.0,0.0,3.0,0.0,63.0,1172.0,76.0,1.0,No fault
4,10777600.0,OIL/NGU-IOP-ETP-SUB-80XD0014/141117@1801,11/28/2016 0:00,NMD,IWWTP_ELE_NMD,80XD0014_NMD,1.0,12.0,0.0,3.0,0.0,116.0,2206.0,132.0,1.0,No fault
5,10783177.0,OIL/NGU-IOP-SUB-SS7-70XD0101/151117@1255,11/28/2016 0:00,NMD,ONU_ELE_NMD,70XD0101_NMD,1.0,16.0,0.0,2.0,0.0,27.0,1339.0,46.0,1.0,No fault
6,10783259.0,OIL/NGU-IOP-SUB-SS7-70XD0102/151117@1255,11/28/2016 0:00,NMD,ONU_ELE_NMD,70XD0102_NMD,1.0,11.0,5.0,2.0,0.0,23.0,1151.0,42.0,2.0,Need Resampling
7,10783307.0,OIL/NGU-IOP-SUB-SS7-70XD0201/151117@1255,11/28/2016 0:00,NMD,ONU_ELE_NMD,70XD0201_NMD,1.0,17.0,0.0,3.0,0.0,47.0,1910.0,68.0,1.0,No fault
8,10783361.0,OIL/NGU-IOP-SUB-SS7-70XD02010/151117@1255,11/28/2016 0:00,NMD,ONU_ELE_NMD,70XD02010_NMD,1.0,17.0,0.0,6.0,0.0,141.0,1307.0,165.0,1.0,No fault
9,10783386.0,OIL/NGU-IOP-SUB-SS7-70XD0202/151117@1255,11/28/2016 0:00,NMD,ONU_ELE_NMD,70XD0202_NMD,1.0,16.0,0.0,3.0,0.0,33.0,2149.0,53.0,1.0,No fault
