,Text_id,T_site,T_plant,Sampling_point,Rate(%)
0,"['OIL/NGP-DHC-SUB-55ETDC055001/011117@1159'
 'OIL/NGP-DHC-SUB-55ETDC055001/081117@0000'
 'OIL/NGP-DHC-SUB-55ETDC055001/131117@1246']",['NMD'],['DHC_ELE_NMD'],55ETDC055001_NMD,0.026
1,['OIL/NGU-IOP-ETP-SUB-80XD0011/141117@1801'],['NMD'],['IWWTP_ELE_NMD'],80XD0011_NMD,0.064
2,['OIL/NGU-IOP-ETP-SUB-80XD0012/141117@1801'],['NMD'],['IWWTP_ELE_NMD'],80XD0012_NMD,0.018000000000000002
3,['OIL/NGU-IOP-ETP-SUB-80XD0013/141117@1801'],['NMD'],['IWWTP_ELE_NMD'],80XD0013_NMD,0.026
4,['OIL/NGU-IOP-ETP-SUB-80XD0014/141117@1801'],['NMD'],['IWWTP_ELE_NMD'],80XD0014_NMD,0.026
5,['OIL/NGU-IOP-SUB-SS7-70XD0101/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0101_NMD,0.709
6,['OIL/NGU-IOP-SUB-SS7-70XD0102/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0102_NMD,0.052
7,['OIL/NGU-IOP-SUB-SS7-70XD0201/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0201_NMD,0.008
8,['OIL/NGU-IOP-SUB-SS7-70XD02010/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD02010_NMD,0.001
9,['OIL/NGU-IOP-SUB-SS7-70XD0202/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0202_NMD,0.025
10,['OIL/NGU-IOP-SUB-SS7-70XD0209/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0209_NMD,0.054
11,['OIL/NGU-IOP-SUB-SS7-70XD0203/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0203_NMD,0.008
12,['OIL/NGU-IOP-SUB-SS7-70XD0204/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0204_NMD,0.001
13,['OIL/NGU-IOP-SUB-SS7-70XD0205/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0205_NMD,0.024
14,['OIL/NGU-IOP-SUB-SS7-70XD0206/151117@1255'],['NMD'],['ONU_ELE_NMD'],70XD0206_NMD,0.006999999999999999
15,['OIL/NGU-ASP-SUB-71XD02004/131117@1246'],['NMD'],['N2O2_ELE_NMD'],71XD02004_NMD,0.045
16,['OIL/NGY-PE1-SUB-20XD001/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD001_NMD,0.13
17,['OIL/NGY-PE1-SUB-20XD002/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD002_NMD,0.076
18,['OIL/NGY-PE1-SUB-20XD022/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD022_NMD,0.158
19,['OIL/NGY-PE1-SUB-20XD003/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD003_NMD,0.016
20,['OIL/NGY-PE1-SUB-20XD004/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD004_NMD,0.0
21,['OIL/NGY-PE1-SUB-20XD005/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD005_NMD,0.043
22,['OIL/NGY-PE1-SUB-20XD006/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD006_NMD,0.008
23,['OIL/NGY-PE1-SUB-20XD007/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD007_NMD,0.005
24,['OIL/NGY-PE1-SUB-20XD008/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD008_NMD,0.02
25,['OIL/NGY-PE1-SUB-20XD014/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD014_NMD,0.025
26,['OIL/NGY-PE1-SUB-20XD015/151117@1839'],['NMD'],['LLD_ELE_NMD'],20XD015_NMD,0.034
27,"['OIL/NGM-EOG-SUB-50XD00001/011117@0000'
 'OIL/NGM-EOG-SUB-50XD00001/051117@0000'
 'OIL/NGM-EOG-SUB-50XD00001/081117@0000'
 'OIL/NGM-EOG-SUB-50XD00001/131117@1246']",['NMD'],['EO-EG_ELE_NMD'],50XD00001_NMD,0.033
28,"['OIL/NGM-EOG-SUB-50XD00002/011117@0000'
 'OIL/NGM-EOG-SUB-50XD00002/051117@0000'
 'OIL/NGM-EOG-SUB-50XD00002/081117@0000'
 'OIL/NGM-EOG-SUB-50XD00002/131117@1246']",['NMD'],['EO-EG_ELE_NMD'],50XD00002_NMD,0.018000000000000002
29,"['OIL/NGM-EOG-SUB-50XD00003/011117@0000'
 'OIL/NGM-EOG-SUB-50XD00003/051117@0000'
 'OIL/NGM-EOG-SUB-50XD00003/081117@0000'
 'OIL/NGM-EOG-SUB-50XD00003/131117@1246']",['NMD'],['EO-EG_ELE_NMD'],50XD00003_NMD,0.032
30,"['OIL/NGM-EOG-SUB-50XD00004/011117@0000'
 'OIL/NGM-EOG-SUB-50XD00004/051117@0000'
 'OIL/NGM-EOG-SUB-50XD00004/081117@0000'
 'OIL/NGM-EOG-SUB-50XD00004/131117@1246']",['NMD'],['EO-EG_ELE_NMD'],50XD00004_NMD,0.006999999999999999
31,['OIL/NGU-ASP-SUB-71XD02001/131117@1246'],['NMD'],['N2O2_ELE_NMD'],71XD02001_NMD,0.046
32,['OIL/NGU-ASP-SUB-71XD02002/131117@1246'],['NMD'],['N2O2_ELE_NMD'],71XD02002_NMD,0.018000000000000002
33,['OIL/NGU-ASP-SUB-71XD02003/131117@1246'],['NMD'],['N2O2_ELE_NMD'],71XD02003_NMD,0.036000000000000004
34,['OIL/NGU-ASP-SUB-71XD01001/131117@2002'],['NMD'],['N2O2_ELE_NMD'],71XD01001_NMD,0.647
35,['OIL/NGU-ASP-SUB-71XD01002/131117@2002'],['NMD'],['N2O2_ELE_NMD'],71XD01002_NMD,0.004
36,['OIL/NGP-CKR-SUB-10XD001/141117@1801'],['NMD'],['GC_ELE_NMD'],10XD001_NMD,0.02
37,['OIL/NGP-CKR-SUB-10XD002/141117@1801'],['NMD'],['GC_ELE_NMD'],10XD002_NMD,0.009000000000000001
38,['OIL/NGP-CKR-SUB-10XD003/141117@1801'],['NMD'],['GC_ELE_NMD'],10XD003_NMD,0.045
39,['OIL/NGP-CKR-SUB-10XD004/141117@1801'],['NMD'],['GC_ELE_NMD'],10XD004_NMD,0.018000000000000002
40,['OIL/NGP-CKR-SUB-10XD005/141117@1801'],['NMD'],['GC_ELE_NMD'],10XD005_NMD,0.006999999999999999
