,Conditions,Sampling Point,T_site,TDGC Levels(microlitres/litres),TDGC Rate(micro liter/liter/day)(%),Sampling interval,Operating Procedures
0,Condition 1,55ETDC055001_NMD,NMD,75.0,0.026000000000000002,Annual,Continue normal operation.
1,Condition 1,80XD0011_NMD,NMD,71.0,0.064,Annual,Continue normal operation.
2,Condition 1,80XD0012_NMD,NMD,44.0,0.018000000000000002,Annual,Continue normal operation.
3,Condition 1,80XD0013_NMD,NMD,76.0,0.026000000000000002,Annual,Continue normal operation.
4,Condition 1,80XD0014_NMD,NMD,132.0,0.026000000000000002,Annual,Continue normal operation.
5,Condition 1,70XD0101_NMD,NMD,46.0,0.7090000000000001,Annual,Continue normal operation.
6,Condition 1,70XD0102_NMD,NMD,42.0,0.052000000000000005,Annual,Continue normal operation.
7,Condition 1,70XD0201_NMD,NMD,68.0,0.008,Annual,Continue normal operation.
8,Condition 1,70XD02010_NMD,NMD,165.0,0.001,Annual,Continue normal operation.
9,Condition 1,70XD0202_NMD,NMD,53.0,0.025,Annual,Continue normal operation.
10,Condition 1,70XD0209_NMD,NMD,224.0,0.054000000000000006,Annual,Continue normal operation.
11,Condition 1,70XD0203_NMD,NMD,53.0,0.008,Annual,Continue normal operation.
12,Condition 1,70XD0204_NMD,NMD,59.0,0.001,Annual,Continue normal operation.
13,Condition 1,70XD0205_NMD,NMD,70.0,0.024,Annual,Continue normal operation.
14,Condition 1,70XD0206_NMD,NMD,67.0,0.006999999999999999,Annual,Continue normal operation.
15,Condition 1,71XD02004_NMD,NMD,431.0,0.045,Annual,Continue normal operation.
16,Condition 1,20XD001_NMD,NMD,217.0,0.13,Annual,Continue normal operation.
17,Condition 1,20XD002_NMD,NMD,134.0,0.076,Annual,Continue normal operation.
18,Condition 2,20XD022_NMD,NMD,1025.0,0.158,Quaterly,Exercise caution Analyze for individual gases Determine Load dependence.
19,Condition 1,20XD003_NMD,NMD,173.0,0.016,Annual,Continue normal operation.
20,Condition 1,20XD004_NMD,NMD,223.0,0.0,Annual,Continue normal operation.
21,Condition 1,20XD005_NMD,NMD,393.0,0.043,Annual,Continue normal operation.
22,Condition 1,20XD006_NMD,NMD,217.0,0.008,Annual,Continue normal operation.
23,Condition 1,20XD007_NMD,NMD,154.0,0.005,Annual,Continue normal operation.
24,Condition 1,20XD008_NMD,NMD,219.0,0.02,Annual,Continue normal operation.
25,Condition 1,20XD014_NMD,NMD,171.0,0.025,Annual,Continue normal operation.
26,Condition 1,20XD015_NMD,NMD,311.0,0.034,Annual,Continue normal operation.
27,Condition 1,50XD00001_NMD,NMD,58.0,0.033,Annual,Continue normal operation.
28,Condition 1,50XD00002_NMD,NMD,45.0,0.018000000000000002,Annual,Continue normal operation.
29,Condition 1,50XD00003_NMD,NMD,151.0,0.032,Annual,Continue normal operation.
30,Condition 1,50XD00004_NMD,NMD,316.0,0.006999999999999999,Annual,Continue normal operation.
31,Condition 1,71XD02001_NMD,NMD,56.0,0.046,Annual,Continue normal operation.
32,Condition 1,71XD02002_NMD,NMD,77.0,0.018000000000000002,Annual,Continue normal operation.
33,Condition 1,71XD02003_NMD,NMD,166.0,0.036000000000000004,Annual,Continue normal operation.
34,Condition 1,71XD01001_NMD,NMD,653.0,0.647,Annual,Continue normal operation.
35,Condition 1,71XD01002_NMD,NMD,118.0,0.004,Annual,Continue normal operation.
36,Condition 1,10XD001_NMD,NMD,59.0,0.02,Annual,Continue normal operation.
37,Condition 1,10XD002_NMD,NMD,37.0,0.009000000000000001,Annual,Continue normal operation.
38,Condition 1,10XD003_NMD,NMD,226.0,0.045,Annual,Continue normal operation.
39,Condition 1,10XD004_NMD,NMD,47.0,0.018000000000000002,Annual,Continue normal operation.
40,Condition 1,10XD005_NMD,NMD,35.0,0.006999999999999999,Annual,Continue normal operation.
41,Condition 1,10XD006_NMD,NMD,39.0,0.01,Annual,Continue normal operation.
42,Condition 1,10XD007_NMD,NMD,151.0,0.023,Annual,Continue normal operation.
43,Condition 1,10XD008_NMD,NMD,176.0,0.04,Annual,Continue normal operation.
44,Condition 1,80XD001_NMD,NMD,185.0,0.034,Annual,Continue normal operation.
45,Condition 1,80XD002_NMD,NMD,146.0,0.02,Annual,Continue normal operation.
46,Condition 1,80XD003_NMD,NMD,115.0,0.025,Annual,Continue normal operation.
47,Condition 1,80XD004_NMD,NMD,68.0,0.006,Annual,Continue normal operation.
48,Condition 1,80XD005_NMD,NMD,191.0,0.004,Annual,Continue normal operation.
49,Condition 1,30XD009_NMD,NMD,104.0,0.019,Annual,Continue normal operation.
50,Condition 1,72XD03_NMD,NMD,672.0,0.74,Annual,Continue normal operation.
51,Condition 1,72XE01_NMD,NMD,70.0,0.077,Annual,Continue normal operation.
52,Condition 1,30XD010_NMD,NMD,124.0,0.077,Annual,Continue normal operation.
53,Condition 1,30XD005_NMD,NMD,83.0,0.019,Annual,Continue normal operation.
54,Condition 1,40XD003_NMD,NMD,311.0,0.032,Annual,Continue normal operation.
