,Transformer,PD,T1,T2,T3,D1,D2,DT
0,70SYT2220KV_NMD,0.0,0.0,0.0,0.0,33.0,67.00000000000001,0.0
0,70SYT1220KV_NMD,0.0,0.0,0.0,0.0,0.0,100.0,0.0
0,72XE02_NMD,33.0,0.0,0.0,44.89000000000001,0.0,22.110000000000003,0.0
0,72XE01_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,72XD05_NMD,25.0,18.75,0.0,56.25,0.0,0.0,0.0
0,72XD04_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,72XD03_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,72XD02_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,72XD01_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,90TR04_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,90TR03_NMD,25.0,14.0625,28.125,14.0625,4.6875,0.0,14.0625
0,90TR05_NMD,67.0,7.296300000000001,7.296300000000001,7.296300000000001,3.5937000000000006,7.187400000000001,0.0
0,90TR02_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,90TR01_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,65XD00002_NMD,75.0,18.75,6.25,0.0,0.0,0.0,0.0
0,65XD00001_NMD,25.0,18.75,0.0,56.25,0.0,0.0,0.0
0,30XD011_NMD,0.0,0.0,18.75,56.25,0.0,6.25,18.75
0,30XD009_NMD,0.0,0.0,25.0,75.0,0.0,0.0,0.0
0,30XD008_NMD,0.0,0.0,50.0,50.0,0.0,0.0,0.0
0,30XD007_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD006_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD005_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD004_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD003_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD002_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,30XD010_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,40XD007_NMD,0.0,0.0,25.0,25.0,0.0,25.0,25.0
0,40XD003_NMD,0.0,0.0,18.75,75.0,0.0,6.25,0.0
0,40XD002_NMD,50.0,9.375,18.75,9.375,3.125,9.375,0.0
0,40XD001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD015_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD014_NMD,25.0,0.0,0.0,37.5,0.0,18.75,18.75
0,20XD008_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD007_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD006_NMD,0.0,0.0,18.75,56.25,0.0,0.0,25.0
0,20XD005_NMD,0.0,0.0,18.75,75.0,0.0,0.0,6.25
0,20XD004_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD003_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD022_NMD,0.0,18.75,56.25,0.0,12.5,6.25,6.25
0,20XD002_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,20XD001_NMD,25.0,14.0625,0.0,56.25,4.6875,0.0,0.0
0,70XD0208_NMD,25.0,0.0,0.0,56.25,0.0,18.75,0.0
0,70XD0207_NMD,0.0,0.0,0.0,75.0,0.0,0.0,25.0
0,70XD0206_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,70XD0205_NMD,25.0,0.0,0.0,56.25,0.0,18.75,0.0
0,70XD0204_NMD,25.0,0.0,9.375,42.1875,0.0,18.75,4.6875
0,70XD0203_NMD,25.0,18.75,18.75,37.5,0.0,0.0,0.0
0,70XD0209_NMD,25.0,0.0,0.0,56.25,0.0,18.75,0.0
0,70XD0202_NMD,25.0,0.0,0.0,56.25,0.0,18.75,0.0
0,70XD02010_NMD,0.0,0.0,18.75,56.25,0.0,25.0,0.0
0,70XD0201_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,70XD0102_NMD,25.0,4.6875,4.6875,9.375,14.0625,42.1875,0.0
0,70XD0101_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,71XD02004_NMD,0.0,0.0,18.75,75.0,0.0,0.0,6.25
0,80XD005_NMD,0.0,0.0,25.0,25.0,0.0,0.0,50.0
0,80XD0014_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,80XD0013_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,80XD0012_NMD,0.0,0.0,25.0,75.0,0.0,0.0,0.0
0,80XD0011_NMD,0.0,0.0,18.75,75.0,0.0,0.0,6.25
0,80XD004_NMD,0.0,0.0,0.0,75.0,0.0,0.0,25.0
0,80XD003_NMD,25.0,0.0,9.375,9.375,0.0,18.75,37.5
0,80XD002_NMD,0.0,0.0,18.75,75.0,0.0,0.0,6.25
0,80XD001_NMD,25.0,14.0625,14.0625,37.5,0.0,0.0,9.375
0,10XD008_NMD,0.0,25.0,25.0,0.0,25.0,25.0,0.0
0,10XD007_NMD,25.0,0.0,9.375,42.1875,0.0,18.75,4.6875
0,10XD006_NMD,0.0,0.0,0.0,75.0,0.0,0.0,25.0
0,10XD005_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,10XD004_NMD,75.0,18.75,6.25,0.0,0.0,0.0,0.0
0,10XD003_NMD,67.0,14.813700000000003,7.296300000000001,0.0,7.296300000000001,3.5937000000000006,0.0
0,10XD002_NMD,75.0,9.375,4.6875,4.6875,3.125,3.125,0.0
0,10XD001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,71XD01002_NMD,0.0,0.0,0.0,75.0,0.0,0.0,25.0
0,71XD01001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,71XD02003_NMD,0.0,0.0,12.5,56.25,0.0,0.0,31.25
0,71XD02002_NMD,0.0,0.0,18.75,56.25,0.0,0.0,25.0
0,71XD02001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,50XD00004_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,50XD00003_NMD,0.0,0.0,18.75,75.0,0.0,0.0,6.25
0,50XD00002_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0,50XD00001_NMD,0.0,0.0,12.5,56.25,0.0,25.0,6.25
0,55ETDC055001_NMD,0.0,0.0,0.0,100.0,0.0,0.0,0.0
