sample_number,result_number,text_id,sampled_date,recd_date,date_completed,date_reviewed,sample_status,sample_in_spec,group_name,t_site,t_plant,process_unit,sampling_point,product,product_grade,product_version,stage,sample_type,template,sample_name,analysis,t_test_method,test_comment,name,entry,formatted_entry,reported_value,numeric_entry,result_status,result_in_spec,units,display_string,order_number,rule_type,spec_rule,min_value,max_value,text_value,sap_functional_loc,analysis_type,sap_func_loc,sap_tag_no
10735333,55988327,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,SAMPLED_BY,,null,Sampled By,Power Electronical,Power Electronical,Power Electronical,,A,T,NONE,NONE,7,T,null,null,null,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988328,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,LAB_SAMPLE_ID,,null,Lab Sample ID,10735333,10735333,10735333,1.07E+07,A,T,NONE,NONE,8,T,null,null,null,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988329,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,SAMPLING_POINT,,null,Sampling Point,MAIN_TANK_BOTTOM,MAIN_TANK_BOTTOM,MAIN_TANK_BOTTOM,,A,T,NONE,NONE,9,T,null,null,null,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988330,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,APPEARANCE,IS_335,null,Appearance,Clear,Clear,Clear,,A,F,NONE,NONE,10,T,Equal to,null,null,"Clear, free from sediment and suspended matter",NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988331,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,BDV,IS_6792,null,Breakdown down voltage,49,49,49,49,A,T,KILO_VOLT,kV,11,N,Result >= MIN,40,null,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988332,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,12/5/2017 18:35,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,WATER_CONTENT,IS_13567,null,Water Content,17,17,17,17,A,T,PPM,ppm,12,N,Result <= MAX,null,30,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988333,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,NEUTRALISATION_VALUE,IS_1448_P2,null,Neutralisation Value,0.047,0,0,0,A,T,MG_KOH_PER_GM,mg KOH/gm,13,N,Result <= MAX,null,0.15,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988334,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,SEDIMENT_AND_SLUDGE,IS_1866_A,null,Sediment & Sludge,0,0,0,0,A,T,PCT_BY_MASS,% mass,14,N,Result <= MAX,null,0,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988335,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,DIELECTRIC_DISSIP_FACTOR,IS_6262,null,Dielectric Dissipation Factor @ 90DegC,0.01812,0,0,0,A,T,NONE,NONE,15,N,Result <= MAX,null,0.1,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
10735333,55988336,OIL/NGP-DHC-SUB-55ETDC055001/011117@1159,11/28/2016 0:00,11/15/2017 12:49,11/17/2017 18:44,11/17/2017 18:44,A,F,ELE_RELIABILITY,NMD,DHC_ELE_NMD,DT_DHC_NMD,55ETDC055001_NMD,TRANSFORMER_OIL_NMD,TRANS_OIL,1,PROCESS,UNSCHEDULE,RELIABILITY,Transformer Oil,RESITIVITY,IS_6103,null,Specific Resitance @ 90DegC x 10^12,2.113,2.11,2.11,2.11,A,T,OHMS_CENTIMETER,Ohms-cm,16,N,Result >= MIN,0.3,null,null,NGP-DHC-SUB-55ETDC055001,1000672303,,
